Recipe Name,All Ingredients,Key Ingredients,Outside order,Easy to carry?,Easy to cook?,Time to cook?,Diet Pref,Allergen,Tier,Season,Category,Macro Category,Base,Theme,Heavy Light,Dish Nationality,Cuisine,Temperature,Commonality,Excite Level,Equipment,,NEW FLAVOUR,NEW ETHNICITY,TASEER,SYMPTOMS,MED CON.,Consistency,PALEO?,DEF/TOX,BLD,Servings,Quantity per serving,Base,Theme,Carbs,Protein,Fat,Fiber,Energy,cal/serving,THERAPY,MAXIMUM QUANTITY,Min Quantity,RECIPE ID,Main/Mid,Is Measured In?,Wt.of Measured Amt.,Carbs/100gm,Protein/100gm,Fat/100gm,Fiber/100gm,Energy/100gm,Must have category,Good to have Category,Must have recipe,Good to have recipe,PRIORITY
1224,1224,1224,1224,1223,1224,1224,1224,1215,1224,1224,1224,689,0,0,1224,1224,1224,1224,1224,1224,1224,,1224,1203,1224,1224,1224,1224,1224,1224,1217,1223,1216,1224,1223,1223,1223,1223,1223,1223,,1224,1224,1224,1224,1224,1224,1224,1219,1219,1219,1219,1219,,,,,1224
Tomato Soup,"1 onion (chopped)
5 tomatoes (blended into paste with 1/2 cup water)
1/2 tsp ginger garlic paste
Water (as required)
Juice of 1/2 lemon
Salt (to taste)
1/4 tsp oregano
1/4 tsp black pepper
1 tsp olive oil","Tomato - 5
Onion - 1
Olive Oil - 1'tsp

",YES,Medium ,Easy ,Medium (30 minutes),"VEGAN , VEGETARIAN","Onion/Garlic, Citrus",Metro,All Season,Light Soup,Soup/Dal,,,LIGHT,Both,General,Warm,0,2,"Gas stove / Cooktop, Basic fry pan/kadai",,Sour/Tangy,Generic,Neutral Taseer,"Glucourea, Loose motions/diarrhoea, Bloating, Reduced appetite, Headache, Hairfall, Facial hair, Sleep disorders / insomnia, Lupus (SLE), ","Eye Sight, Prediabetic, Hypothyroidism, Hyperthyroidism, Hashimoto's Thyroiditis, PCOS (Polycystic Ovarian Syndrome), PCOD, High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension), IBS (Irritable Bowel Syndrome), Crohn's Disease, Colitis / Ulcerative Colitis, Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia, Hormonal imbalances, Cardiovascular Diseases (CVDs), Cancer ",Liquid,YES,"lycopene, vitamin C, potassium, vitamin A,High LDL/Low HDL, High Triglycerides, Liver enzyme elevated",Dinner,2.5,1 medium bowl (200 ml),NO BASE,All themes,33.74,7.19,6.38,14.56,220.49,88.20,"Low FODMAP, Low GI, Normal",2,1,00a3b28b-e5b2-49bc-addb-cb4e6e5640c3,MAIN,Medium Bowl,200ml,6.7,1.4,1.3,2.9,44.1,,,,"Scrambled Tofu, Barbeque Chicken, Roasted Chicken, Paneer Tikka, Tandoori Chicken, Pepper Chicken, Paneer Shashlik Tikka, Scrambled Eggs, Lemon Chicken, Tofu Chilli, Egg Whites, Air Fried Fish, Grilled Chicken Breast, Grilled Fish, Egg White Omelette, Fish Tikka, Egg Bhurji, Deviled Eggs, Boiled Eggs, Akuri Eggs, Panfried Fish, Pan Fried Fish, Acuri Eggs",Primary
Namkeen Mathri,"1 cup Whole Wheat Flour
2 tbsp Roasted Cumin Powder
2 tbsp Carom Seeds (Ajwain)
1-2 tbsp Kasuri Methi
A pinch of Baking Soda
2-3 tbsp Desi Ghee
Salt - As Per Taste","Whole wheat flour - 1'cup
Ghee - 2.5'tbsp
",No ,Easy,Hard ,Medium (30 minutes),"VEGAN , VEGETARIAN, JAIN ","Gluten, Lactose, Gluten, wheat",Both,All Season,Snack,,,,Heavy,India,North Indian,Neutral,0,2,"Gas stove / Cooktop, Basic fry pan/kadai, Rolling pin & board (chakla belan)",,Salty,Generic,Neutral Taseer,Reduced appetite,"Type 2 Diabetes, Gestational Diabetes, Prediabetic, High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension),  Kidney stones (OXALATE), Kidney stones (URIC ACID), Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Anemia, Gout (High Uric Acid), Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,NO,"Selenium Deficiency,  High Creatinine, Iron Deficiency, Vitamin D deficiency, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Vit B12 deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid   Fiber deficiency, omega 3. ",Pre Dinner,4.5,2,Wheat,HF,86.4,15.84,40.5,13.63,773.34,171.85,"Low GI, Normal",3,1,0147a6e1-9479-4da4-a6dc-c66662734ef5,MAIN,Numbers,30gm,64.0,11.7,30.0,10.1,572.8,,,,,Primary
Herbal Belly Tea,"Chamomile Tea leaves- 1 pinch
Mint Leaf - 4-5 leaves
Fennel Seeds - 1 tsp
Fresh Ginger - 1/2 tsp grated
Coriander seeds - 1/2 tsp
Water - 300 ml RO purified",NA,NO ,Medium ,Easy ,Low (5 minutes),"VEGAN , VEGETARIAN, JAIN ",,Both,All Season,Morning Water,,,,LIGHT,Both,General,Warm,1,1,"Gas stove / Cooktop, Electric kettle",,Bland,Generic,Neutral Taseer,"Chronic cough, Breathlessness, Bloating, Acidity, Constipation, ","Type 2 Diabetes,  Prediabetic, Hypothyroidism, Hyperthyroidism, Hashimoto's Thyroiditis, PCOS (Polycystic Ovarian Syndrome), PCOD, High Blood Pressure (Hypertension), Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE), Kidney stones (URIC ACID), Osteoarthritis, Rheumatoid Arthritis, Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia, Gout (High Uric Acid), Hormonal imbalances, Vitiligo, Cardiovascular Diseases (CVDs)",Liquid,YES," High Total cholesterol, High Creatinine, Vitamin E deficiency, Magnesium deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, Iron deficiency (anemia), Vitamin C deficiency,Calcium deficiency, Selenium Deficiency.","Morning Water, Tea",1,1 Cup,NO BASE,All themes,5.04,1.3,1.25,1.49,36.51,36.51,"Low FODMAP, Low GI, Antiinflammatory, DASH, Normal",1,1,01774dd4-25fb-49a6-ac1d-466f5e96c141,MID,glass,250ml,2.0,0.5,0.5,0.6,14.6,,,,Soaked almonds,Primary
Biotin Laddu,"Pumpkin Seeds - 1/4 cup
Peanuts - 1 cup
Coconut - 1 cup
Almond - 1/4 cup
Sunflower Seeds - 1/4 cup
Flax Seeds - 1/4 cup
Dates - 8","Pumpkin seeds - 0.25'cup
Peanuts - 1'cup
Coconut - 1'cup
Almond - 0.25'cup
Sunflower seeds - 0.25'cup
Flax seeds - 0.25'cup
Dates - 8",NO,Easy,Medium ,Medium (30 minutes),"VEGAN , VEGETARIAN, JAIN ","Nut, Peanuts",Both,Winter,Dessert,Dessert,,,HEAVY,India,General,Neutral,1,3,"Gas stove / Cooktop, Basic fry pan/kadai",,Sweet,Generic,Neutral Taseer,"Reduced appetite, Headache, Lack of sleep, Hairfall, Sleep disorders ,stress,"," PCOS (Polycystic Ovarian Syndrome), PCOD,Fatty Liver, Hepatitis A/B/C, Anemia, Hormonal imbalances, Cardiovascular Diseases (CVDs),Sinusitis / allergic rhinitis, Migraine",Solid,YES,"Calcium deficiency, Selenium Deficiency, Biotin deficiency, High Total cholesterol, High Creatinine, Iron Deficiency, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated",Pre Dinner,10,1 laddu,NO BASE,All themes,123.6,74.21,186.74,45.06,2472,247.20,"DASH, Normal",2,1,018c7278-b7f5-4c4f-aac1-4755379ad6f6,MAIN,Numbers,52 gm,23.8,14.3,35.9,8.7,475.4,,,,,Primary
Alkaline Water,"Water - 1 L
Lemon (Green Whole Sliced) - 1
Cucumber (Sliced) - 1
Mint Leaf - 10
Salt - a pinch (or as per taste)","Cucumber - 1
Lemon - 1",YES,Easy,Easy ,Low,"VEGAN , VEGETARIAN, JAIN ",Citrus,Both,Summer,Morning Water,,,,LIGHT,Both,General,Neutral,1,1,No equipment required,,Bland,Generic,Neutral Taseer,"Acidity, bloating, GERD, Dehydration, UTI , STRESS , MOOD SWINGS ","Type 2 Diabetes,  Prediabetic, Hypothyroidism, Hyperthyroidism, Hashimoto's Thyroiditis, PCOS (Polycystic Ovarian Syndrome), PCOD, High Blood Pressure (Hypertension), IBS,GERD, Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE), Kidney stones (URIC ACID), Osteoarthritis, Rheumatoid Arthritis, Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia, Gout (High Uric Acid), Hormonal imbalances, Vitiligo, Cardiovascular Diseases (CVDs)",Liquid,YES,"High Total cholesterol, Iron Deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Vitamin C Deficiency,  Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, Calcium deficiency, Selenium Deficiency, Biotin deficiency, Vitamin K deficiency, Potassium.","Mid Meal, Morning Water",4,1 cup,NO BASE,All themes,7.16,1.36,0.48,7.09,37.28,9.32,"Low FODMAP, Low GI, Antiinflammatory, Normal",1,1,019c156d-a552-412f-ab6a-1463e6814755,MID,glass,250ml,0.7,0.1,0.0,0.7,3.7,,,,Soaked almonds,Primary
Egg Whites,"Egg Whites - 3
(Optional) Black Pepper Powder - a pinch
(Optional) Salt - a pinch",Egg White - 3,YES,Medium,Easy ,Low (5 minutes),"OVOVEGETARIAN , EGG ",,Both,All Season,Cereal,Porridge,,,LIGHT,Both,General,Neutral,0,1,"Gas stove / Cooktop, Basic fry pan/kadai",,Bland,Generic,Hot Taseer,"Weakness , bodyache, Hair And skin , reduced Appetite, frequent infection, recovery after illness, Glucourea, constipation,  joint pain, fatique, Headache, Lack of sleep, Hairfall, Sleep disorders / insomnia, low Skin health , low immunity, stress, mood swings, muscle cramps.","Type 2 Diabetes, Gestational Diabetes, Prediabetic, Hypothyroidism, Hyperthyroidism, Hashimoto's Thyroiditis, PCOS (Polycystic Ovarian Syndrome), PCOD, High Blood Pressure (Hypertension), Crohn's Disease, Colitis / Ulcerative Colitis, Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE),  Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia,, Hormonal imbalances, Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,YES,"Protein deficiency, riboflavin deficiency, selenium deficiency, High Total cholesterol, Iron Deficiency, Vitamin D deficiency, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, ","Breakfast, Lunch",1,2-3 egg whites,Egg,HP,0.74,11.54,0.21,0,50.94,50.94,"Low FODMAP, Low GI, Normal",3,1,63972596-582c-4033-ac8e-c91fdbd4db1f,MID,Numbers,90gm,0.8,12.8,0.2,0.0,56.6,,,,,Primary
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dahi Tadka,"Onion - 0.5 cup
Curd - 1 cup
Mustard Seeds - 1 tsp
Curry Leaf - 6
Red Chilli - 2
Garam Masala - 1 tsp
Salt - 1 tsp
Turmeric Powder - 1 tsp
Ghee - 1 tsp","Onion - 0.5'cup
Curd - 1'cup
Ghee - 1'tsp",YES,Medium,Easy ,Low (5 minutes),VEGETARIAN,"Lactose, Onion/Garlic",Both,Winter,Raita,curd based,,,LIGHT,India,North Indian,Neutral,0,2,"Gas stove / Cooktop, Basic fry pan/kadai",,Sour/Tangy,Generic,Neutral Taseer,"Acidity,  Loose motions/diarrhoea, Bloating, Constipation, Reduced appetite, Headache, Lack of sleep, IBS,GERD, indigestition ","Type 2 Diabetes, Gestational Diabetes (portion-controlled), Prediabetic, High Blood Pressure (Hypertension), Fatty Liver, Kidney stones (OXALATE), Kidney stones (URIC ACID), Osteoporosis, Migraine, Anemia, Gout (High Uric Acid), Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs), post antibiotic phase.",Solid,YES,"Calcium deficiency, High Total cholesterol, High Creatinine, Iron Deficiency,Protein deficiency,  vitamin B12 deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency,  High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated",Dinner,2,1 Katori (100-120 gm),NO BASE,All themes,15.65,9.41,13.31,1.47,220.03,110.02,"Low FODMAP, Low GI, Normal",1.5,1,02131841-b13f-42d9-a00c-fbe4cea3424d,MAIN,Katori,150ml,5.2,3.1,4.4,0.5,73.3,"Pulao, Khichdi, Biryani","Chila, Thepla",,,Secondary
Masala Bajra,"1 tsp red chili powder
1 tsp coriander powder
1 tsp cumin powder
1/2 tsp turmeric powder
1 tsp mango powder (amchur)
1 tsp salt
1/3 tsp asafoetida (hing)
2 cups Bajra Murmura
Oil spray",Bajra Murmura - 2'cup,NO,Easy,Medium ,Medium (30 minutes),"VEGAN , VEGETARIAN, JAIN ",Onion/Garlic,Both,All Season,Chaat,,,,Heavy,India,Gujarati,Neutral,1,3,"Gas stove / Cooktop, Basic fry pan/kadai",,Spicy,"West , North India ",Hot Taseer,"constipation, Type1 diabetes, Type 2 Diabetes and improve iron deficiency anemia, reduce appetide, insomina , manage stress ","Type 2 Diabetes, Gestational Diabetes, Prediabetic, High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension), Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (URIC ACID), Osteoarthritis, Rheumatoid Arthritis, Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia, Gout (High Uric Acid), Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,NO,"Fiber deficiency, iron deficiency, protein deficiency, magnesium deficiency, B-vitamin deficiency, zinc deficiency, Folate.","Lunch, Dinner",1.5,1 cup,Bajra,HF,25.97,2.5,0.6,1,113.89,75.93,Normal,2,1,023ed8dd-38ca-4594-ad96-0b32008d230a,MID,Cup,150gm,11.5,1.1,0.3,0.4,50.6,,,"Mint Chutney, Coriander Chutney",,Primary
